"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"id129133",0.448530972663906,-0.0127108800439598,1.71686024345111,-0.00740356129303179,0.994092866713722,NA
"id129134",3.49141221936663,1.35624933590887,0.717788610612633,1.88948294227086,0.0588271463065156,NA
"id129135",100.021842649375,0.300979067915548,0.19236953632199,1.56458799906741,0.11767954461414,0.30361322510448
"id129136",0.522723139268199,1.93973047843712,1.89194521500171,1.02525721308234,0.305241838850484,NA
"id129137",1.75019053991872,3.04061077394213,1.05385485120313,2.88522728767707,0.00391131168484666,NA
"id129139",0.475613921566442,1.38318617995902,1.63184436985181,0.847621381985482,0.396648862484776,NA
"id129140",0.42303583917476,0.496811151319676,1.8412434266775,0.269823720275904,0.787295873286246,NA
"id129141",0.817124854555672,0.697838194893302,1.51997094379725,0.45911285195356,0.646153128006661,NA
"id129142",0.730981512502421,-0.27074299052559,1.83557299727792,-0.147497806367325,0.882739111059001,NA
"id129143",0.386894487286146,0.868128078939511,2.02498476531293,0.428708449470906,0.668135410849928,NA
"id129144",0.314432969270342,1.16748633945531,2.13590001260628,0.546601588353713,0.584652477623657,NA
"id129145",0.202361916555869,1.06813476067697,3.03808320865464,0.351581799219373,0.725151916916934,NA
"id129146",0.0581473525618885,0.0682374803625387,3.0414330302705,0.022435963469651,0.982100192865074,NA
"id129147",103.491846348642,0.325648109706419,0.206476847617205,1.57716525346294,0.114757505763426,0.302116698846571
"id129148",0.561320660405155,2.55674739115373,2.03098927828823,1.25886799033653,0.208078017324588,NA
"id129149",0.231774842584945,-1.60158981722824,3.03809187573424,-0.527169645533242,0.598075785845125,NA
"id129151",0.415174450914285,-2.330405268241,2.47525703235948,-0.941480112075312,0.346458876337832,NA
"id129152",0.370224147449653,1.92734029226423,2.57368433960409,0.748864288679903,0.453939006384909,NA
"id129153",147.316377100728,-0.0702557980988426,0.199309261750296,-0.352496404240674,0.72446601464721,0.898616498937405
"id129155",0.525749115297936,-0.317638006303641,1.53638945029836,-0.206743157629699,0.836210450554304,NA
"id129156",1.85778960883177,0.389684741409828,0.82088240534742,0.474714452242283,0.634990515460191,NA
"id129157",1.37270307092268,0.299082620661342,1.02270875391103,0.292441635526824,0.769948978284546,NA
"id129158",0.206727410807212,1.11415323597614,3.03685111427244,0.366877793494682,0.713710176422323,NA
"id129159",1.09294707945339,-0.693570262744162,1.27892147226807,-0.542308716980229,0.587605851569748,NA
"id129160",0.739389608497711,-0.600602550907047,1.45657784479901,-0.412338106783384,0.680091621549169,NA
"id129161",0.942065654416257,-1.446975460303,1.35310822902024,-1.06937156191173,0.284902276291314,NA
"id129162",2.58102107619546,-0.151105405727443,0.64024869704213,-0.236010485340355,0.813424533858234,NA
"id129163",2.82783023452434,1.55532747715369,0.844241748457952,1.84227738085041,0.0654345866184743,NA
"id129164",1.54802815333911,0.76149863831373,1.11307277953665,0.684140922600521,0.493886182981028,NA
"id129165",3.57365539151649,1.3412111687873,0.686582797436006,1.9534587434989,0.0507652613420381,NA
"id129166",0.44232230989475,0.303304803808464,1.98997587291467,0.152416322196018,0.878858584227907,NA
"id129167",6.54453784547265,0.0564979358864476,0.566480165569183,0.0997350645625521,0.920554661823371,NA
"id129168",1.17534510282782,-0.0664901001294579,1.2466533925807,-0.0533348728084046,0.95746509524886,NA
"id129169",0.469386429334394,-0.746316962001643,2.02371328132824,-0.368785918878689,0.712287301149054,NA
"id129170",26.2699406379206,0.347602586256094,0.230959596756843,1.50503634028273,0.132314734034322,0.328242320969761
"id129171",0.712200594832078,-1.04305966893696,1.29637287623977,-0.804598497897021,0.421051409230926,NA
"id129172",45.4686907443535,0.0628301776824036,0.25609202888578,0.245342184041295,0.806191491478149,0.936925246852984
"id129173",38.8883001485038,-0.373293876778541,0.225161945515651,-1.65789061701189,0.0973395463820915,0.273573781745373
"id129174",7.20388529973309,0.911511343892467,0.533347931797167,1.70903698983334,0.0874440978968274,NA
"id129175",26.497942232418,-0.23975718674844,0.329810067543386,-0.726955330788682,0.467253320199296,0.706605026937995
"id129176",14.2776143296026,-0.0122559814589641,0.372569852387356,-0.0328957949239052,0.973757686147268,0.987635603155073
"id129177",34.7381168034017,-0.188594227271767,0.261761103468195,-0.720482244202801,0.471228128140152,0.706605026937995
"id129182",1315.99666535809,-0.554477481507608,0.210718930349219,-2.63136055497571,0.00850437589336712,0.0522411662021123
"id129183",0.663419517027348,-0.223612883336739,1.47009279799756,-0.152108005454707,0.879101750242003,NA
"id129199",3.67738278222702,0.0265812122352068,0.726956405159581,0.0365650705414332,0.970831794564862,NA
"id129220",11.38448348232,1.16159397772001,0.539605451953374,2.15267279734672,0.0313444028381484,0.130433160197456
