Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
sel2_SRR1719018.trim_1P	sel2_SRR1719018.trim_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	146789.0	0.0	36-100	44.0	31.97514800155325	98.0427552473278	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
sel2_SRR1719018.trim_1U	sel2_SRR1719018.trim_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24349.0	0.0	36-100	45.0	65.07043410406999	91.66815885662656	pass	pass	fail	pass	fail	fail	pass	warn	warn	warn	pass
sel2_SRR1719018.trim_2P	sel2_SRR1719018.trim_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	146789.0	0.0	36-98	44.0	37.27527267029546	94.14877136570179	pass	pass	fail	pass	warn	fail	pass	warn	fail	warn	pass
sel2_SRR1719018.trim_2U	sel2_SRR1719018.trim_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	890.0	0.0	36-98	43.0	84.26966292134831	78.42022471910113	pass	pass	fail	pass	fail	fail	pass	warn	pass	fail	pass
sel2_SRR1719204.trim_1P	sel2_SRR1719204.trim_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	117177.0	0.0	36-100	44.0	30.514520767727454	98.05106804236327	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
sel2_SRR1719204.trim_1U	sel2_SRR1719204.trim_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19714.0	0.0	36-100	43.0	60.54073247438369	91.80572182205539	pass	pass	fail	pass	fail	fail	pass	warn	warn	fail	pass
sel2_SRR1719204.trim_2P	sel2_SRR1719204.trim_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	117177.0	0.0	36-98	43.0	35.90465705727233	93.96048712631318	pass	pass	fail	pass	warn	fail	pass	warn	fail	warn	pass
sel2_SRR1719204.trim_2U	sel2_SRR1719204.trim_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	716.0	0.0	36-98	43.0	86.1731843575419	81.22346368715084	pass	pass	fail	pass	fail	fail	pass	warn	pass	fail	pass
sel2_SRR1719206.trim_1P	sel2_SRR1719206.trim_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	206072.0	0.0	36-100	43.0	26.258298070577275	96.68919600916185	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
sel2_SRR1719206.trim_1U	sel2_SRR1719206.trim_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15466.0	0.0	36-100	44.0	73.63248415879995	77.46320962110435	pass	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass
sel2_SRR1719206.trim_2P	sel2_SRR1719206.trim_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	206072.0	0.0	36-100	42.0	30.289898676190845	95.11800729841997	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
sel2_SRR1719206.trim_2U	sel2_SRR1719206.trim_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4615.0	0.0	36-100	42.0	81.56013001083423	72.9486457204767	pass	pass	fail	pass	warn	fail	pass	warn	pass	fail	pass
sel2_SRR1719207.trim_1P	sel2_SRR1719207.trim_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	117830.0	0.0	36-100	43.0	33.16472884664347	98.09559534923194	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
sel2_SRR1719207.trim_1U	sel2_SRR1719207.trim_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8446.0	0.0	36-100	41.0	67.20340989817664	81.69737153682216	pass	pass	fail	pass	fail	fail	pass	warn	warn	fail	pass
sel2_SRR1719207.trim_2P	sel2_SRR1719207.trim_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	117830.0	0.0	36-100	42.0	36.28193159636765	96.64056691844182	pass	pass	warn	pass	warn	fail	pass	warn	fail	warn	pass
sel2_SRR1719207.trim_2U	sel2_SRR1719207.trim_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	721.0	0.0	36-100	42.0	84.0499306518724	80.32732316227462	pass	pass	fail	pass	fail	fail	pass	warn	pass	fail	pass
sel2_SRR1719208.trim_1P	sel2_SRR1719208.trim_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	110682.0	0.0	36-100	45.0	29.72027972027972	98.19603910301585	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass
sel2_SRR1719208.trim_1U	sel2_SRR1719208.trim_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7962.0	0.0	36-100	46.0	75.65938206480783	83.29791509670937	pass	pass	fail	pass	fail	warn	pass	warn	pass	fail	pass
sel2_SRR1719208.trim_2P	sel2_SRR1719208.trim_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	110682.0	0.0	36-100	45.0	33.45530438553694	96.1764153159502	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
sel2_SRR1719208.trim_2U	sel2_SRR1719208.trim_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	579.0	0.0	36-100	44.0	88.77374784110536	78.37996545768567	pass	pass	fail	warn	warn	fail	pass	warn	pass	fail	pass
